book_id,title,categories,author_names,price,description
OL20194516W,Your Office,"Microsoft office (computer program); Business, data processing; Business communication; Business, computer programs; Microsoft access (computer program); Integrated software; Microsoft outlook (computer program); Web 2.0; Online social networks; Microsoft windows (computer program); Microsoft excel (computer program); Electronic spreadsheets; Database management; Relational databases; Electronic data processing; Internet; Microsoft SharePoint (Electronic resource); Intranets (Computer networks); Web services; Microsoft Project; Project management; Computer programs; Microsoft Outlook; Microsoft Word; Microsoft Office; Microsoft Excel (Computer file); Microsoft PowerPoint (Computer file); Microsoft Windows (Computer file); Operating systems (Computers); Microsoft Access; Business; Computers and IT",Amy S. Kinser; Eric Kinser; Jennifer Paige Nightingale,,
OL2035966W,SQL For Dummies (Sql for Dummies),SQL (Computer program language); Database management; Relational databases; Computer programming; Computer Technology; Nonfiction; SQL; Sql (computer program language),Allen G. Taylor; Reinhard Engel,,"Learn SQL the fun and easy way -- no programming experience needed!  SQL For Dummies, 7th Edition, shows programmers and web developers how to use SQL to build relational databases and get valuable information from them. This book covers the core features of the SQL language. Topics covered include how to use SQL to structure a DBMS and implement a database design; secure a database; and retrieve information from a database. This edition will be revised to reflect the new enhancements of SQL/XML:2008.   The latest update of the perennial bestselling SQL For Dummies, which has sold more than 210,000 units in six editions.  SQL is the most popular database language in the world  Covers creating, accessing, manipulating, maintaining, and storing information in relational database management systems (DBMS) such as Access, Oracle, SQL Server, and MySQL.  Includes new content on using SQL with XML to power data-driven web sites and using SQL with Access 2010  Whether you're daunted by database development or a system admin star, SQL For Dummies, 7th Dummies will have you working your web site in no time at all.The EPUB format of this title may not be compatible for use on all handheld devices."
OL1704943W,Oracle PL/SQL Language,Relational databases; PL/SQL (Computer program language); Oracle (Computer file); Oracle (computer system); Sql (computer program language); Pl/1 (computer program language); Database management; Language and linguistics; COMPUTERS / Programming Languages / SQL,Steven Feuerstein,36.86,
OL1704945W,Oracle PL/SQL Programming,Oracle (Computer file); Database management; PL/SQL (Computer program language); Programmeertalen; SQL/ORACLE (Computer program language); Oracle; Relational databases; Oracle (computer system); Sql (computer program language); Pl/1 (computer program language),Steven Feuerstein,142.6,
OL13525650W,Theory and practice of relational databases,Relational databases; Database management; Bases de données relationnelles; Bases de données; Gestion; COMPUTERS; Programming Languages; SQL,Stefan Stanczyk; Stefan Stanczyk; Bob Champion; Richard Leyton,26.52,
OL25693120W,Db2 11,"Electronic data processing, distributed processing; Database management; Relational databases; Bases de données; Gestion; Bases de données relationnelles; BUSINESS & ECONOMICS; Management; Reference; Skills; IBM Database 2.","Campbell, John; Chris Crone; Gareth Jones; Surekha Parekh; Jay Yothers",,
OL15827701W,Oracle,Relational databases; Oracle (Computer file); ORACLE (Datenbanksystem),George Koch; Kevin Loney,122.91,
OL15705149W,High Performance MySQL,Relational databases; SQL (Computer program language); Database management; Mysql (computer program language); Sql (computer program language); MySQL (Electronic resource); COMPUTERS / Programming Languages / SQL,Jeremy D. Zawodny; Derek J. Balling; Baron Schwartz; Peter Zaitsev; Baron Schwartz. Peter Zaitsev. Vadim Tkachenko. Jeremy D. Zawodny. Arjen Lentz. Derek J. Balling,50.66,Second Edition
OL1854539W,Database system concepts,Database management; open_syllabus_project; Datenbanksystem; Banco de dados; Relational databases; Software,Abraham Silberschatz,,
OL1704944W,Oracle PL/SQL Best Practices,Computer programs; Database management; Oracle (Computer file); PL/SQL (Computer program language); Relational databases; Oracle (computer system); Sql (computer program language),Steven Feuerstein,26.38,
OL9559525W,"Learning PHP, MySQL & JavaScript","PHP (Computer program language); Web sites; Web site development; Design; MySQL (Electronic resource); JavaScript (Computer program language); Mysql (computer program language); Cascading style sheets; HTML (Document markup language); Internet programming; Relational databases; Web sites, design; Query languages (Computer science); Internetprogrammering; JAVASCRIPT; Webbsidor; CSS (märkspråk); PHP; Webbdesign; Java (computer program language); Programming; SQL (Computer program language); PHP (Langage de programmation); JavaScript (Langage de programmation); Langages d'interrogation; Sites Web; Développement; Conception; COMPUTERS / Programming Languages / General; JavaScript; Cascading Style Sheets; HTML; MySQL; JavaScript (Computer language); PHP (Computer language); Web sites - Design",Robin Nixon,,"Learning PHP, MySQL & JavaScript will teach you how to create responsive, data-driven websites with the three central technologies of PHP, MySQL and JavaScript - whether or not you know how to program. This simple, streamlined guide explains how the powerful combination of PHP and MySQL provides a painless way to build modern websites with dynamic data and user interaction. You'll also learn how to add JavaScript to create rich Internet websites and applications, and how to use Ajax to handle background communication with a web server. This book explains each technology separately, shows you how to combine them, and introduces valuable concepts in modern web programming, including objects, XHTML, cookies, regular expressions and session management."
OL5749230W,Oracle SQL*Plus,SQL*PLUS (Computer program language); Relational databases; Query languages (Computer science); Database Management Systems; Programming Languages; Oracle (Computer file); Sql (computer program language),Jonathan Gennick,65.64,
OL1643755W,Java Examples in a Nutshell,Java (Computer program language); Web servers; Object-oriented programming (Computer science); Relational databases; Oracle (Computer file); Java (computer program language); Java (Langage de programmation); COMPUTERS; Programming Languages; Java; Befehlsvorrat; Java (langage de programmation),David Flanagan,,
OL5800987W,MySQL,Database management; SQL (Computer program language); Relational databases; MySQL (Electronic resource); COMPUTERS / Programming Languages / Java; COMPUTERS / Programming Languages / Pascal; COMPUTERS / Programming Languages / C♯; Mysql (computer program language),George Reese,133.09,
OL7943552W,Oracle PL/SQL by example,Oracle (Computer file); PL/SQL (Computer program language); Relational databases; Oracle (computer system); Sql (computer program language),Benjamin Rosenzweig; Elena Silvestrova,98.39,
OL5749228W,SQL,Relational databases; SQL (Computer program language); Database management; SQL (Computer language); SQL (Langage de programmation); Bases de données relationnelles; Bases de données; Gestion,Jonathan Gennick,134.92,
OL20016549W,SQL and relational theory,Relational databases; SQL (Computer program language); Sql (computer program language),C. J. Date,88.81,
OL15056287W,Oracle essentials,Oracle (Computer file); Relational databases; Bases de données relationnelles; Oracle (système informatique); Database management; Oracle (Logiciel); Oracle (Computer software); Oracle (computer system),Rick Greenwald,58.59,"Covers system architecture, data structures, installation, management, security, networking, backup, recovery, and troubleshooting."
OL25183403W,SQL Für Dummies,Database management; Computer programming; Relational databases; Sql (computer program language),Allen G. Taylor,77.6,
OL5749231W,Oracle SQL*Plus,Database management; Oracle (Computer file); Query languages (Computer science); Relational databases; SQL*PLUS (Computer program language); Oracle (computer system); Sql (computer program language); SQL*PLUS (Langage de programmation); Bases de données; Gestion; COMPUTERS; Programming Languages; SQL; Engineering & Applied Sciences; Computer Science,Jonathan Gennick,67.6,
OL18778267W,Oracle PL/SQL for dummies,Relational databases; PL/SQL (Computer program language); Oracle (Computer file); Oracle (computer system); Sql (computer program language),Michael Rosenblum; Paul Dorsey,39.2,
OL19882532W,Learning SQL,Relational databases; SQL (Computer program language),Alan Beaulieu,21.79,"Updated for the latest database management systems, this introductory guide will get you up and running with SQL quickly. Whether you need to write database applications, perform administrative tasks, or generate reports, Learning SQL, Second Edition, will help you easily master all the SQL fundamentals. Each chapter presents a self-contained lesson on a key SQL concept or technique, with numerous illustrations, annotated examples, and exercises to let you practice the skills you learn."
OL2367823W,The concepts of database management,Database design; Database management; Relational databases,Philip J. Pratt,20.29,
OL12283147W,Transact-SQL Cookbook,SQL; Relational databases; SQL (Computer program language); Microsoft SQL Server; Sybase,Aleš Špetič; Jonathan Gennick,84.08,
OL7943618W,Informix Guide to SQL,Relational databases; SQL (Computer program language); Computer programs,Informix Software,79.07,
OL2820582W,Sybase and client/server computing,Client/server computing; Relational databases; Sybase,"Alex Berson; Anderson, George",125.19,
OL2764614W,Oracle Performance Tuning,Database management; Oracle (Computer file); Relational databases; SQL (Computer program language); Oracle (computer system); Oracle,Peter Corrigan; Mark Gurry,80.22,"<h2>Printing History</h2>
<dl>
<dt>October 1993</dt><dd>First Edition.</dd> 
<dt>December 1993</dt><dd>Minor Corrections.</dd> 
<dt>June 1994</dt><dd>Minor Corrections.</dd> 
<dt>November 1996</dt><dd>Second Edition.</dd> 
</dl>"
OL2945002W,Database Design for Mere Mortals,Database design; Relational databases; Databases; Information Management; Methods,Michael J. Hernandez,139.36,
OL6221552W,Beginning Microsoft SQL Server 2008 Programming,Computer Technology; Nonfiction; Relational databases; SQL server; Database management; Client/server computing; Sql server; COMPUTERS; Data Processing,Robert Vieira,107.26,"This comprehensive introduction to SQL Server begins with an overview of database design basics and the SQL query language along with an in-depth look at SQL Server itselfProgresses on to a clear explanation of how to implement fundamental concepts with the new 2008 version of SQL ServerDiscusses creating and changing tables, managing keys, writing scripts, working with stored procedures, programming with XML, using SQL Server Reporting and Integration Services, and moreFeatures updated and new material, including new examples using Microsoft's AdventureWorks sample database"
OL58745W,SQL server 2008 administration instant reference,Relational databases; SQL server; Database management; COMPUTERS; Data Processing; Sql server; Client/server computing,"Lee, Michael",164.31,"""Perfect companion to any SQL Server 2008 book, providing fast, accurate answers on the spot for millions of IT professionals  System and database administrators, IT consultants, and database application developers often need quick answers and practical solutions for SQL Server issues. This convenient guide offers you quick referencing for the product and database topics you need most.  If you're an IT administrator looking for the essentials in the day-to-day tasks of  administering SQL Server 2008, you'll appreciate this book's design for providing quick and easy look up of solutions and tables, lists, and step-by-step instructions for answers on the spot. SQL Server 2008 Instant Administration Reference is a guide that you want to keep within reach.    SQL Server is Microsoft's bestselling database manager; the 2008 version offers enhanced security and high availability, encouraging users to upgrade  Features thumb tabs, secondary and tertiary tables of contents, and special heading treatments to provide quick and easy lookup, as well as quick-reference tables and lists to provide answers on the spot  Covers installing, configuring, managing, and maintaining SQL Server; optimizing server performance; and troubleshooting    SQL Server 2008 Administration Instant Reference answers the questions you encounter most often in your daily work""--Provided by publisher."
OL8580779W,Oracle PL/SQL Built-ins,Relational databases; PL/SQL (Computer program language); Oracle (Computer file); Oracle (computer system); Sql (computer program language); Pl/1 (computer program language); Database management,Steven Feuerstein,,
OL8408069W,Microsoft SQL Server 2008 step by step,Relational databases; Client/server computing; SQL server,Mike Hotek,129.11,
OL8205689W,Mastering SQL server 2005 reporting services infrastructure design,Client/server computing; Relational databases; SQL server; Sql server; Database management; Sql (computer program language),Joseph L. Jorden,116.0,
